#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,2979501,"+9,480",164931.0,+883,1302470.0,"+4,703",1512100.0,18778.0,,,,,,North America,,,
,South America,2050436,"+1,218",79584.0,+41,1173699.0,"+1,126",797153.0,12770.0,,,,,,South America,,,
,Europe,2399981,"+11,287",190453.0,+362,1340274.0,"+13,541",869254.0,6065.0,,,,,,Europe,,,
,Asia,2150633,"+32,581",53606.0,+667,1393467.0,"+21,952",703560.0,19202.0,,,,,,Asia,,,
,Africa,363608,+992,9334.0,+17,176215.0,+563,178059.0,899.0,,,,,,Africa,,,
,Oceania,9273,+48,126.0,,8570.0,+21,577.0,1.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,9954153,"+55,606",498049.0,"+1,970",5395346.0,"+41,906",4060758.0,57719.0,1277.0,63.9,,,,All,,,
1.0,USA,2554906,"+1,950",127691.0,+51,1068934.0,+231,1358281.0,15765.0,7719.0,386.0,31382509.0,94817.0,330981104.0,North America,130.0,2592.0,11.0
2.0,Brazil,1280335,+281,56121.0,+12,697526.0,,526688.0,8318.0,6024.0,264.0,2925935.0,13766.0,212541690.0,South America,166.0,3787.0,73.0
3.0,Russia,627646,"+6,852",8969.0,+188,393352.0,"+9,200",225325.0,2300.0,4301.0,61.0,18707946.0,128195.0,145933938.0,Europe,233.0,16271.0,8.0
4.0,India,518936,"+9,490",15880.0,+191,302945.0,"+7,028",200111.0,8944.0,376.0,12.0,7996707.0,5795.0,1379826344.0,Asia,2659.0,86891.0,173.0
5.0,UK,310250,+890,43514.0,+100,,,,311.0,4570.0,641.0,9067577.0,133578.0,67882162.0,Europe,219.0,1560.0,7.0
6.0,Spain,294985,,28338.0,,,,,617.0,6309.0,606.0,5162909.0,110426.0,46754627.0,Europe,158.0,1650.0,9.0
7.0,Peru,272364,,8939.0,,159806.0,,103619.0,1172.0,8262.0,271.0,1604521.0,48674.0,32964854.0,South America,121.0,3688.0,21.0
8.0,Chile,263360,,5068.0,,223431.0,,34861.0,2086.0,13778.0,265.0,1043330.0,54584.0,19114153.0,South America,73.0,3772.0,18.0
9.0,Italy,239961,,34708.0,,187615.0,,17638.0,105.0,3969.0,574.0,5215922.0,86267.0,60462488.0,Europe,252.0,1742.0,12.0
10.0,Iran,220180,"+2,456",10364.0,+125,180661.0,"+2,809",29155.0,2928.0,2622.0,123.0,1583542.0,18857.0,83977195.0,Asia,381.0,8103.0,53.0
11.0,Mexico,208392,"+5,441",25779.0,+719,120562.0,"+3,700",62051.0,378.0,1617.0,200.0,542120.0,4205.0,128914507.0,North America,619.0,5001.0,238.0
12.0,Pakistan,198883,"+3,138",4035.0,+73,86906.0,"+2,738",107942.0,2729.0,901.0,18.0,1214140.0,5498.0,220814581.0,Asia,1110.0,54725.0,182.0
13.0,Turkey,194511,,5065.0,,167198.0,,22248.0,963.0,2307.0,60.0,3186622.0,37789.0,84326725.0,Asia,434.0,16649.0,26.0
14.0,Germany,194445,+46,9026.0,,177500.0,+400,7919.0,364.0,2321.0,108.0,5412655.0,64605.0,83781327.0,Europe,431.0,9282.0,15.0
15.0,Saudi Arabia,178504,"+3,927",1511.0,+37,122128.0,"+1,657",54865.0,2283.0,5129.0,43.0,1500516.0,43112.0,34805142.0,Asia,195.0,23035.0,23.0
16.0,France,162936,,29778.0,,75649.0,+298,57509.0,634.0,2496.0,456.0,1384633.0,21213.0,65272172.0,Europe,401.0,2192.0,47.0
17.0,Bangladesh,133978,"+3,504",1695.0,+34,54318.0,"+1,185",77965.0,1.0,814.0,10.0,715098.0,4343.0,164667742.0,Asia,1229.0,97149.0,230.0
18.0,South Africa,124590,,2340.0,,64111.0,,58139.0,539.0,2101.0,39.0,1493104.0,25180.0,59297807.0,Africa,476.0,25341.0,40.0
19.0,Canada,102794,,8508.0,,65726.0,,28560.0,2085.0,2724.0,225.0,2598243.0,68850.0,37737992.0,North America,367.0,4436.0,15.0
20.0,Qatar,93663,+879,110.0,+1,77225.0,"+1,153",16328.0,205.0,33358.0,39.0,345691.0,123118.0,2807805.0,Asia,30.0,25526.0,8.0
21.0,Colombia,84442,,2811.0,,34937.0,,46694.0,335.0,1660.0,55.0,688959.0,13542.0,50875544.0,South America,602.0,18099.0,74.0
22.0,Sweden,65137,,5280.0,,,,,171.0,6450.0,523.0,444607.0,44027.0,10098554.0,Europe,155.0,1913.0,23.0
23.0,Egypt,62755,,2620.0,,16737.0,,43398.0,41.0,613.0,26.0,135000.0,1320.0,102299983.0,Africa,1630.0,39046.0,758.0
24.0,Belgium,61209,+103,9732.0,+1,16941.0,+23,34536.0,35.0,5282.0,840.0,1191959.0,102852.0,11589102.0,Europe,189.0,1191.0,10.0
25.0,Belarus,61095,+382,377.0,+4,44126.0,"+1,437",16592.0,89.0,6466.0,40.0,959880.0,101582.0,9449348.0,Europe,155.0,25065.0,10.0
26.0,Argentina,55343,,1192.0,+8,19143.0,+727,35008.0,457.0,1225.0,26.0,329036.0,7281.0,45190471.0,South America,817.0,37911.0,137.0
27.0,Ecuador,53856,,4406.0,,26493.0,,22957.0,288.0,3053.0,250.0,142715.0,8091.0,17638795.0,South America,328.0,4003.0,124.0
28.0,Indonesia,52812,"+1,385",2720.0,+37,21909.0,+576,28183.0,,193.0,10.0,753370.0,2755.0,273484557.0,Asia,5178.0,100546.0,363.0
29.0,Netherlands,50074,+69,6105.0,+2,,,,29.0,2922.0,356.0,577437.0,33700.0,17134521.0,Europe,342.0,2807.0,30.0
30.0,UAE,46973,,310.0,,35469.0,,11194.0,1.0,4750.0,31.0,3136000.0,317130.0,9888695.0,Asia,211.0,31899.0,3.0
31.0,Kuwait,44391,+688,344.0,+3,34586.0,+617,9461.0,155.0,10397.0,81.0,375524.0,87953.0,4269580.0,Asia,96.0,12412.0,11.0
32.0,Iraq,43262,"+2,069",1660.0,+101,19938.0,"+1,079",21664.0,254.0,1076.0,41.0,500723.0,12454.0,40204671.0,Asia,929.0,24220.0,80.0
33.0,Singapore,43246,+291,26.0,,36825.0,,6395.0,1.0,7393.0,4.0,684359.0,116989.0,5849784.0,Asia,135.0,224992.0,9.0
34.0,Ukraine,42065,+948,1110.0,+24,18701.0,+402,22254.0,386.0,962.0,25.0,631966.0,14450.0,43735136.0,Europe,1040.0,39401.0,69.0
35.0,Portugal,41189,+323,1561.0,+6,26864.0,+231,12764.0,67.0,4039.0,153.0,1102066.0,108078.0,10196909.0,Europe,248.0,6532.0,9.0
36.0,Oman,36953,+919,159.0,+6,20363.0,+881,16431.0,113.0,7240.0,31.0,179461.0,35162.0,5103851.0,Asia,138.0,32100.0,28.0
37.0,Philippines,34803,+730,1236.0,+12,9430.0,+248,24137.0,147.0,318.0,11.0,662647.0,6048.0,109559319.0,Asia,3148.0,88640.0,165.0
38.0,Poland,33714,+319,1435.0,+6,19972.0,+754,12307.0,80.0,891.0,38.0,1469962.0,38840.0,37846927.0,Europe,1123.0,26374.0,26.0
39.0,Switzerland,31555,+69,1962.0,,29000.0,,593.0,11.0,3646.0,227.0,555315.0,64170.0,8653873.0,Europe,274.0,4411.0,16.0
40.0,Dominican Republic,30619,+855,718.0,+6,16666.0,+309,13235.0,198.0,2823.0,66.0,142340.0,13123.0,10846472.0,North America,354.0,15107.0,76.0
41.0,Afghanistan,30616,+165,703.0,+20,10674.0,+368,19239.0,19.0,787.0,18.0,70087.0,1801.0,38910996.0,Asia,1271.0,55350.0,555.0
42.0,Panama,29905,,575.0,,15270.0,,14060.0,148.0,6933.0,133.0,117266.0,27185.0,4313667.0,North America,144.0,7502.0,37.0
43.0,Bolivia,29423,+920,934.0,+21,7736.0,+398,20753.0,71.0,2521.0,80.0,68630.0,5881.0,11670618.0,South America,397.0,12495.0,170.0
44.0,Romania,26022,+325,1589.0,+10,18530.0,+349,5903.0,199.0,1353.0,83.0,687618.0,35742.0,19238321.0,Europe,739.0,12107.0,28.0
45.0,Ireland,25414,,1730.0,,23364.0,,320.0,12.0,5148.0,350.0,415028.0,84064.0,4937024.0,Europe,194.0,2854.0,12.0
46.0,Bahrain,24805,,78.0,+5,19137.0,,5590.0,45.0,14591.0,46.0,521101.0,306529.0,1700005.0,Asia,69.0,21795.0,3.0
47.0,Armenia,23909,+662,421.0,+11,12911.0,+762,10577.0,10.0,8069.0,142.0,107108.0,36146.0,2963193.0,Asia,124.0,7038.0,28.0
48.0,Nigeria,23298,,554.0,,8253.0,,14491.0,7.0,113.0,3.0,125090.0,607.0,206032229.0,Africa,8843.0,371899.0,1647.0
49.0,Israel,22800,,314.0,,16872.0,,5614.0,46.0,2479.0,34.0,920460.0,100076.0,9197590.0,Asia,403.0,29292.0,10.0
50.0,Kazakhstan,20319,+569,150.0,,12589.0,+41,7580.0,121.0,1082.0,8.0,1467556.0,78172.0,18773513.0,Asia,924.0,125157.0,13.0
51.0,Japan,18197,,969.0,,16392.0,,836.0,51.0,144.0,8.0,440739.0,3485.0,126479040.0,Asia,6951.0,130525.0,287.0
52.0,Austria,17580,+58,700.0,+2,16371.0,+23,509.0,10.0,1952.0,78.0,597495.0,66345.0,9005832.0,Europe,512.0,12865.0,15.0
53.0,Moldova,16080,+304,521.0,+6,8963.0,+198,6596.0,455.0,3986.0,129.0,63328.0,15698.0,4034029.0,Europe,251.0,7743.0,64.0
54.0,Honduras,15994,+628,471.0,+45,1678.0,+78,13845.0,13.0,1615.0,48.0,21540.0,2175.0,9902043.0,North America,619.0,21023.0,460.0
55.0,Azerbaijan,15890,+521,193.0,+6,8719.0,+355,6978.0,66.0,1567.0,19.0,461861.0,45557.0,10138016.0,Asia,638.0,52529.0,22.0
56.0,Ghana,15834,,103.0,,11755.0,,3976.0,6.0,510.0,3.0,286453.0,9222.0,31060677.0,Africa,1962.0,301560.0,108.0
57.0,Guatemala,15828,+209,672.0,+49,3028.0,+79,12128.0,5.0,884.0,38.0,31427.0,1755.0,17909722.0,North America,1132.0,26651.0,570.0
58.0,Serbia,13792,+227,267.0,+2,12338.0,+106,1187.0,32.0,1578.0,31.0,380808.0,43583.0,8737589.0,Europe,634.0,32725.0,23.0
59.0,Algeria,12685,,885.0,,9066.0,,2734.0,48.0,289.0,20.0,,,43837260.0,Africa,3456.0,49534.0,
60.0,Denmark,12675,,604.0,,11508.0,,563.0,11.0,2188.0,104.0,998736.0,172434.0,5792000.0,Europe,457.0,9589.0,6.0
61.0,S. Korea,12653,+51,282.0,,11317.0,+145,1054.0,15.0,247.0,6.0,1243780.0,24260.0,51268806.0,Asia,4052.0,181804.0,41.0
62.0,Cameroon,12592,,313.0,,10100.0,,2179.0,52.0,475.0,12.0,,,26531939.0,Africa,2107.0,84767.0,
63.0,Nepal,12309,+554,28.0,+1,2834.0,+136,9447.0,,423.0,1.0,504910.0,17334.0,29127705.0,Asia,2366.0,1040275.0,58.0
64.0,Morocco,11854,+221,218.0,,8700.0,+44,2936.0,7.0,321.0,6.0,627379.0,17000.0,36904364.0,Africa,3113.0,169286.0,59.0
65.0,Czechia,11044,+6,349.0,,7669.0,+1,3026.0,11.0,1031.0,33.0,541212.0,50539.0,10708800.0,Europe,970.0,30684.0,20.0
66.0,Sudan,9257,,572.0,,4014.0,,4671.0,,211.0,13.0,401.0,9.0,43828543.0,Africa,4735.0,76623.0,109298.0
67.0,Norway,8845,+13,249.0,,8138.0,,458.0,4.0,1632.0,46.0,313162.0,57771.0,5420728.0,Europe,613.0,21770.0,17.0
68.0,Ivory Coast,8739,,64.0,,3587.0,,5088.0,,331.0,2.0,50914.0,1931.0,26364556.0,Africa,3017.0,411946.0,518.0
69.0,Malaysia,8616,+10,121.0,,8308.0,+14,187.0,2.0,266.0,4.0,739458.0,22851.0,32359920.0,Asia,3756.0,267437.0,44.0
70.0,Australia,7641,+46,104.0,,6979.0,+21,558.0,1.0,300.0,4.0,2333296.0,91517.0,25495732.0,Australia/Oceania,3337.0,245151.0,11.0
71.0,Uzbekistan,7490,+63,20.0,,5038.0,,2432.0,28.0,224.0,0.6,1121236.0,33508.0,33461668.0,Asia,4468.0,1673083.0,30.0
72.0,Finland,7198,+7,328.0,,6600.0,,270.0,1.0,1299.0,59.0,237500.0,42865.0,5540643.0,Europe,770.0,16892.0,23.0
73.0,DRC,6690,+138,153.0,+4,937.0,+37,5600.0,,75.0,2.0,,,89495791.0,Africa,13378.0,584940.0,
74.0,Senegal,6459,+105,102.0,+4,4255.0,+62,2102.0,26.0,386.0,6.0,76303.0,4560.0,16734279.0,Africa,2591.0,164062.0,219.0
75.0,North Macedonia,5906,+148,277.0,+9,2236.0,+30,3393.0,55.0,2835.0,133.0,57895.0,27789.0,2083375.0,Europe,353.0,7521.0,36.0
76.0,Kenya,5811,+278,141.0,+4,1936.0,+31,3734.0,18.0,108.0,3.0,162478.0,3023.0,53748171.0,Africa,9249.0,381193.0,331.0
77.0,Tajikistan,5799,+52,52.0,,4391.0,+60,1356.0,,608.0,5.0,,,9533413.0,Asia,1644.0,183335.0,
78.0,El Salvador,5727,+210,143.0,+10,3447.0,+156,2137.0,172.0,883.0,22.0,155301.0,23945.0,6485855.0,North America,1133.0,45356.0,42.0
79.0,Haiti,5722,+179,98.0,+2,641.0,+129,4983.0,,502.0,9.0,11332.0,994.0,11400535.0,North America,1992.0,116332.0,1006.0
80.0,Ethiopia,5570,+145,94.0,+5,2015.0,+327,3461.0,34.0,48.0,0.8,243016.0,2115.0,114903773.0,Africa,20629.0,1222381.0,473.0
81.0,Guinea,5260,,29.0,,4155.0,,1076.0,24.0,401.0,2.0,14407.0,1098.0,13124855.0,Africa,2495.0,452581.0,911.0
82.0,Gabon,5209,,40.0,,2327.0,,2842.0,10.0,2341.0,18.0,34774.0,15631.0,2224664.0,Africa,427.0,55617.0,64.0
83.0,Venezuela,4779,,41.0,,1327.0,,3411.0,9.0,168.0,1.0,1190307.0,41858.0,28436486.0,South America,5950.0,693573.0,24.0
84.0,Djibouti,4643,,52.0,,4348.0,,243.0,,4700.0,53.0,45998.0,46567.0,987776.0,Africa,213.0,18996.0,21.0
85.0,Bulgaria,4513,,215.0,,2457.0,,1841.0,18.0,649.0,31.0,131043.0,18859.0,6948680.0,Europe,1540.0,32319.0,53.0
86.0,Kyrgyzstan,4513,+309,46.0,+3,2212.0,+50,2255.0,30.0,692.0,7.0,199853.0,30641.0,6522410.0,Asia,1445.0,141792.0,33.0
87.0,Luxembourg,4173,,110.0,,3968.0,,95.0,1.0,6668.0,176.0,168786.0,269708.0,625810.0,Europe,150.0,5689.0,4.0
88.0,Hungary,4138,+11,578.0,,2681.0,+18,879.0,11.0,428.0,60.0,270263.0,27976.0,9660521.0,Europe,2335.0,16714.0,36.0
89.0,Bosnia and Herzegovina,3935,,178.0,,2338.0,,1419.0,4.0,1199.0,54.0,88548.0,26989.0,3280924.0,Europe,834.0,18432.0,37.0
90.0,Mauritania,3907,,120.0,,1280.0,,2507.0,21.0,841.0,26.0,13842.0,2979.0,4646990.0,Africa,1189.0,38725.0,336.0
91.0,Greece,3343,,191.0,,1374.0,,1778.0,11.0,321.0,18.0,295851.0,28383.0,10423348.0,Europe,3118.0,54573.0,35.0
92.0,CAR,3340,,40.0,,661.0,,2639.0,2.0,692.0,8.0,22884.0,4740.0,4828335.0,Africa,1446.0,120708.0,211.0
93.0,French Guiana,3270,,11.0,,1166.0,,2093.0,21.0,10954.0,37.0,8061.0,27004.0,298515.0,South America,91.0,27138.0,37.0
94.0,Thailand,3162,,58.0,,3053.0,+13,51.0,1.0,45.0,0.8,468175.0,6708.0,69798329.0,Asia,22074.0,1203419.0,149.0
95.0,Somalia,2878,,90.0,,868.0,,1920.0,2.0,181.0,6.0,,,15883150.0,Africa,5519.0,176479.0,
96.0,Costa Rica,2836,,12.0,,1280.0,,1544.0,6.0,557.0,2.0,38500.0,7559.0,5093524.0,North America,1796.0,424460.0,132.0
